strain	galbut	day	replicate	number_alive	number_valid_flies
25192	TRUE	73	5	0	10
25192	FALSE	1	1	10	10
25192	FALSE	1	2	10	10
25192	FALSE	1	3	10	10
25192	FALSE	1	4	10	10
25192	FALSE	1	5	10	10
25192	FALSE	2	1	10	10
25192	FALSE	2	2	10	10
25192	FALSE	2	3	10	10
25192	FALSE	2	4	10	10
25192	FALSE	2	5	10	10
25192	FALSE	3	1	10	10
25192	FALSE	3	2	10	10
25192	FALSE	3	3	10	10
25192	FALSE	3	4	10	10
25192	FALSE	3	5	10	10
25192	FALSE	4	1	10	10
25192	FALSE	4	2	10	10
25192	FALSE	4	3	10	10
25192	FALSE	4	4	10	10
25192	FALSE	4	5	10	10
25192	FALSE	5	1	10	10
25192	FALSE	5	2	10	10
25192	FALSE	5	3	10	10
25192	FALSE	5	4	10	10
25192	FALSE	5	5	10	10
25192	FALSE	6	1	10	10
25192	FALSE	6	2	10	10
25192	FALSE	6	3	10	10
25192	FALSE	6	4	10	10
25192	FALSE	6	5	10	10
25192	FALSE	7	1	10	10
25192	FALSE	7	2	10	10
25192	FALSE	7	3	10	10
25192	FALSE	7	4	10	10
25192	FALSE	7	5	10	10
25192	FALSE	8	1	10	10
25192	FALSE	8	2	10	10
25192	FALSE	8	3	10	10
25192	FALSE	8	4	10	10
25192	FALSE	8	5	10	10
25192	FALSE	9	1	10	10
25192	FALSE	9	2	10	10
25192	FALSE	9	3	10	10
25192	FALSE	9	4	10	10
25192	FALSE	9	5	10	10
25192	FALSE	10	1	10	10
25192	FALSE	10	2	10	10
25192	FALSE	10	3	10	10
25192	FALSE	10	4	10	10
25192	FALSE	10	5	10	10
25192	FALSE	11	1	10	10
25192	FALSE	11	2	10	10
25192	FALSE	11	3	10	10
25192	FALSE	11	4	10	10
25192	FALSE	11	5	10	10
25192	FALSE	12	1	10	10
25192	FALSE	12	2	10	10
25192	FALSE	12	3	10	10
25192	FALSE	12	4	10	10
25192	FALSE	12	5	10	10
25192	FALSE	13	1	10	10
25192	FALSE	13	2	10	10
25192	FALSE	13	3	10	10
25192	FALSE	13	4	10	10
25192	FALSE	13	5	10	10
25192	FALSE	14	1	10	10
25192	FALSE	14	2	10	10
25192	FALSE	14	3	10	10
25192	FALSE	14	4	10	10
25192	FALSE	14	5	10	10
25192	FALSE	15	1	9	10
25192	FALSE	15	2	10	10
25192	FALSE	15	3	10	10
25192	FALSE	15	4	10	10
25192	FALSE	15	5	10	10
25192	FALSE	16	1	9	10
25192	FALSE	16	2	10	10
25192	FALSE	16	3	10	10
25192	FALSE	16	4	10	10
25192	FALSE	16	5	10	10
25192	FALSE	17	1	9	10
25192	FALSE	17	2	10	10
25192	FALSE	17	3	10	10
25192	FALSE	17	4	10	10
25192	FALSE	17	5	10	10
25192	FALSE	18	1	9	10
25192	FALSE	18	2	10	10
25192	FALSE	18	3	10	10
25192	FALSE	18	4	10	10
25192	FALSE	18	5	10	10
25192	FALSE	19	1	9	10
25192	FALSE	19	2	10	10
25192	FALSE	19	3	10	10
25192	FALSE	19	4	10	10
25192	FALSE	19	5	10	10
25192	FALSE	20	1	9	10
25192	FALSE	20	2	10	10
25192	FALSE	20	3	10	10
25192	FALSE	20	4	10	10
25192	FALSE	20	5	10	10
25192	FALSE	21	1	9	10
